"ListingDate","SalesDate","ListPrice","SaleDollarCnt","ZestimateDollarCnt","BedroomCnt","BathroomCnt","FinishedSquareFeet","YearBuilt","MajorRemodelYear","StoryCnt","RoomTotalCnt","SFR","Latitude","Longitude","PageViews"
"2015-01-09","2015-02-19",279500,279500,227259,1,1,503,1927,2003,2,NA,1,47626378,-122319472,220
"2014-12-31","2015-01-30",309950,325000,313521,3,2,2080,1950,NA,1,NA,1,47513500,-122257360,483
"2015-02-11",NA,325000,NA,330308,1,1,854,2003,2003,1,NA,1,47670100,-122378667,568
"2015-01-06","2015-01-30",649950,682000,607849,3,2,1840,1921,NA,1,NA,1,47667975,-122339350,1162
"2015-02-08","2015-02-24",1100000,1313000,1142928,6,4,2980,1911,NA,2,NA,0,47636596,-122361919,598
"2015-04-03",NA,370000,NA,NA,1,1,801,2008,2008,1,NA,1,47647140,-122324580,116
"2015-01-09","2015-02-13",425000,442000,398379,3,1,1190,1941,NA,1,NA,1,47534580,-122384864,219
"2015-03-25",NA,674000,NA,NA,2,1,576,1970,1970,1,6,1,47520392,-122261629,62
"2015-02-03","2015-02-13",189950,175000,172284,1,1,759,1969,1969,5,NA,1,47725475,-122349235,251
"2015-03-24",NA,525000,NA,NA,3,2,1000,1934,NA,1,NA,0,47663430,-122351020,72
"2015-04-04",NA,925000,NA,NA,3,1,1702,1926,NA,2,NA,1,47586130,-122390340,941
"2014-12-31","2015-01-15",658000,658000,750704,2,1,1010,1926,NA,1,NA,1,47547540,-122399390,949
"2015-03-25",NA,1300000,NA,NA,4,3.5,3440,2006,NA,2,NA,1,47667240,-122408851,253
"2015-02-22",NA,228300,NA,246277,1,1,609,1960,1975,10,NA,1,47611318,-122325696,514
"2015-01-13","2015-02-03",375000,405200,372388,1,1,793,1928,1969,4,NA,1,47620831,-122314390,1096
"2015-01-23","2015-02-27",2595000,2795100,2349412,2,8,4110,2007,NA,2,NA,1,47543140,-122396580,3398
"2015-01-29","2015-02-26",430000,460000,333551,3,1,1130,1944,NA,1,NA,1,47713119,-122282600,883
"2015-02-18",NA,425000,NA,377766,3,1,930,1952,NA,1,NA,1,47688883,-122301191,110
"2015-01-06",NA,409000,NA,372981,2,1,800,1910,NA,1,NA,1,47573755,-122305635,343
"2015-01-16","2015-02-25",278000,285000,233743,1,1,710,1974,1976,23,NA,1,47662540,-122319361,650
"2015-03-09",NA,245000,NA,NA,1,1,705,1980,1980,5,NA,1,47625020,-122324350,352
"2015-03-13",NA,399999,NA,NA,3,1.5,1180,2008,NA,3,NA,1,47683980,-122315190,282
"2015-03-19",NA,665000,NA,NA,1,1,810,1910,NA,1,NA,1,47664410,-122356280,305
"2015-02-05","2015-02-27",425000,440000,410917,2,1,1090,1948,NA,1,NA,1,47695900,-122313480,563
"2015-01-23","2015-02-27",595000,595000,559464,2,2,1207,1963,1980,5,NA,1,47627448,-122353685,1146
"2015-01-02","2015-01-30",384900,418500,348221,2,1,790,1943,NA,1,NA,1,47697288,-122360336,576
"2015-01-11","2015-02-05",399000,397500,502788,3,2,1510,1961,NA,1,NA,1,47728998,-122283026,793
"2015-01-23","2015-02-26",355000,387500,340699,2,1,819,1987,1997,3,NA,1,47681660,-122323270,801
"2015-03-15",NA,560000,NA,NA,3,1.75,1560,1952,NA,1,NA,1,47695915,-122291765,530
"2015-02-23",NA,NA,NA,1354683,4,3,4310,1941,NA,2,NA,1,47632378,-122298099,377
"2015-01-26",NA,1175000,NA,NA,4,2,1980,1910,NA,2,NA,1,47631710,-122369170,741
"2015-03-24",NA,347900,NA,NA,3,2,1448,1968,1968,4,NA,1,47652458,-122388366,654
"2015-03-10",NA,465000,NA,NA,4,2,1690,1929,2006,2,13,1,47544517,-122375335,204
"2015-02-06","2015-02-25",290000,285000,316772,2,1,890,1943,NA,1,NA,1,47711749,-122314209,883
"2015-02-11",NA,1695000,NA,1531165,3,3,2880,1938,NA,2,NA,1,47630350,-122281440,1015
"2015-02-19",NA,649950,NA,657625,4,4,2370,1928,NA,2,NA,1,47575029,-122409843,612
"2015-04-06",NA,NA,NA,NA,3,1,1410,1953,NA,1,NA,1,47676690,-122287160,337
